"","X","loan_amnt","term","int_rate","installment","sub_grade","emp_length","home_ownership","annual_inc","verification_status","loan_status","purpose","dti","delinq_2yrs"
"45",531742,12500," 36 months",9.17,398.49,"B2","6 years","MORTGAGE",70000,"Not Verified","No Default","debt_consolidation",8.37,0
"46",334180,17275," 36 months",16.55,612.04,"D2","3 years","RENT",40000,"Source Verified","No Default","debt_consolidation",21.21,1
"47",530130,20000," 60 months",18.99,518.71,"E3","2 years","MORTGAGE",165000,"Verified","No Default","debt_consolidation",19.29,1
"48",351038,14450," 60 months",24.99,424.05,"F4","10+ years","MORTGAGE",34438,"Source Verified","No Default","debt_consolidation",26.94,1
"49",135478,30000," 60 months",17.57,754.81,"D4","10+ years","MORTGAGE",80000,"Source Verified","No Default","debt_consolidation",27.42,0
"50",574047,35000," 36 months",15.61,1223.77,"D1","10+ years","MORTGAGE",84000,"Verified","No Default","home_improvement",30.2,1
"51",282297,7200," 36 months",13.66,244.9,"C3","10+ years","OWN",29900,"Source Verified","No Default","debt_consolidation",24.53,0
"52",511179,28000," 36 months",8.19,879.88,"A5","< 1 year","MORTGAGE",84000,"Source Verified","No Default","debt_consolidation",12.73,0
"53",435644,8400," 36 months",7.26,260.37,"A4","n/a","MORTGAGE",78000,"Source Verified","No Default","credit_card",10.17,0
"54",277115,20000," 60 months",13.35,458.66,"C2","1 year","RENT",73700,"Source Verified","No Default","credit_card",12.05,0
"55",179631,7000," 36 months",18.25,253.95,"D3","4 years","RENT",75000,"Source Verified","No Default","debt_consolidation",22.1,1
"56",596426,21000," 36 months",6.49,643.54,"A2","10+ years","MORTGAGE",150000,"Source Verified","No Default","debt_consolidation",8.92,0
"57",234341,21000," 60 months",16.99,521.8,"D3","10+ years","MORTGAGE",58000,"Verified","No Default","debt_consolidation",10.95,0
"58",332964,20000," 60 months",13.33,458.45,"C3","10+ years","MORTGAGE",90000,"Source Verified","No Default","credit_card",18.77,3
"59",407838,7000," 36 months",10.99,229.14,"B4","10+ years","OWN",45000,"Verified","No Default","other",15.95,0
"60",213389,20000," 36 months",11.53,659.81,"B5","10+ years","RENT",84000,"Source Verified","No Default","credit_card",15.67,0
"61",247030,10000," 36 months",19.19,367.53,"E3","2 years","RENT",43000,"Verified","No Default","other",13.01,0
"62",349904,9000," 36 months",8.9,285.78,"A5","10+ years","MORTGAGE",65090,"Source Verified","No Default","credit_card",23.64,0
"63",221225,12450," 36 months",9.99,401.67,"B3","< 1 year","RENT",65000,"Verified","No Default","debt_consolidation",33.23,1
"64",211295,20000," 36 months",6.49,612.89,"A2","9 years","MORTGAGE",60000,"Source Verified","No Default","debt_consolidation",20.66,0
"65",599132,30000," 36 months",8.18,942.59,"B1","2 years","RENT",139500,"Verified","No Default","debt_consolidation",5.95,0
"66",478318,10000," 36 months",18.25,362.78,"D2","2 years","RENT",75000,"Not Verified","No Default","debt_consolidation",29.31,0
"67",151422,29550," 60 months",17.86,748.13,"D5","2 years","MORTGAGE",80000,"Not Verified","No Default","debt_consolidation",30.57,0
"68",143231,4000," 36 months",12.49,133.8,"B5","7 years","RENT",80000,"Source Verified","No Default","car",11.25,0
"69",254237,24000," 60 months",18.55,616.65,"E2","n/a","MORTGAGE",63000,"Verified","No Default","debt_consolidation",28.57,0
"70",309238,20000," 60 months",10.99,434.75,"B2","10+ years","MORTGAGE",136400,"Source Verified","No Default","debt_consolidation",27.55,0
"71",568302,22950," 36 months",15.59,802.22,"D1","9 years","OWN",65000,"Source Verified","No Default","debt_consolidation",11.52,0
"72",193896,15000," 36 months",14.33,515.08,"C1","10+ years","RENT",40000,"Verified","Default","debt_consolidation",32.42,0
"73",455857,13075," 60 months",19.52,342.93,"D4","< 1 year","RENT",48000,"Verified","No Default","debt_consolidation",10.18,0
"74",302130,14375," 36 months",17.57,516.6,"D4","n/a","RENT",36084,"Verified","No Default","debt_consolidation",23.58,0
"75",322988,11000," 36 months",6.03,334.8,"A1","9 years","MORTGAGE",49000,"Not Verified","No Default","home_improvement",1.22,0
"76",70527,30000," 60 months",14.48,705.54,"C5","8 years","MORTGAGE",80000,"Source Verified","No Default","debt_consolidation",17.66,0
"77",574451,9000," 36 months",13.99,307.56,"C4","7 years","MORTGAGE",114000,"Verified","No Default","debt_consolidation",36.39,0
"78",516223,17050," 60 months",13.68,393.91,"C1","10+ years","MORTGAGE",65550,"Verified","No Default","debt_consolidation",29.88,0
"79",121238,15000," 60 months",15.61,361.67,"D1","6 years","RENT",37000,"Source Verified","No Default","debt_consolidation",21.44,0
"80",380999,25000," 60 months",9.99,531.06,"B3","10+ years","MORTGAGE",52000,"Source Verified","No Default","debt_consolidation",11.47,0
"81",215552,28000," 36 months",7.69,873.42,"A4","10+ years","MORTGAGE",125000,"Source Verified","No Default","debt_consolidation",25.93,0
"82",577072,6000," 36 months",9.67,192.68,"B1","10+ years","RENT",40000,"Source Verified","No Default","debt_consolidation",29.52,0
"83",312377,17950," 36 months",16.99,639.88,"D3","< 1 year","MORTGAGE",68000,"Verified","No Default","debt_consolidation",23.14,0
"84",351398,29700," 60 months",23.76,850.28,"F4","< 1 year","RENT",66000,"Verified","Default","credit_card",22.1,1
"85",282026,8000," 36 months",12.59,267.98,"C2","1 year","RENT",30000,"Source Verified","No Default","debt_consolidation",19.46,1
"86",448188,10000," 60 months",19.47,262,"D5","10+ years","MORTGAGE",75000,"Source Verified","No Default","home_improvement",9.1,0
"87",439604,12000," 36 months",11.49,395.66,"B5","1 year","MORTGAGE",55000,"Source Verified","No Default","debt_consolidation",9.4,0
"88",532153,7700," 36 months",14.65,265.61,"C2","6 years","OWN",66000,"Source Verified","Default","home_improvement",21.05,0
"89",226952,27575," 36 months",7.62,859.28,"A3","10+ years","RENT",62000,"Source Verified","No Default","debt_consolidation",22.61,0
"90",515959,10000," 36 months",6.03,304.36,"A1","10+ years","MORTGAGE",72000,"Not Verified","No Default","credit_card",10.82,3
"91",566449,10000," 36 months",19.47,368.95,"D5","1 year","RENT",31000,"Source Verified","No Default","debt_consolidation",20.17,0
"92",552623,24000," 36 months",6.49,735.47,"A2","9 years","RENT",178000,"Source Verified","No Default","debt_consolidation",23.67,0
"93",579411,22800," 36 months",23.4,887.35,"E5","6 years","OWN",123000,"Verified","Default","small_business",10.9,1
"94",162880,15000," 36 months",17.56,538.99,"D1","6 years","MORTGAGE",55000,"Source Verified","No Default","debt_consolidation",19.88,0
"95",327221,18000," 36 months",8.18,565.56,"B1","10+ years","MORTGAGE",114000,"Not Verified","No Default","debt_consolidation",13.13,0
"96",557733,9350," 36 months",12.85,314.37,"B4","10+ years","RENT",42000,"Source Verified","No Default","credit_card",6.14,0
"97",169492,25000," 36 months",6.92,771.02,"A4","10+ years","MORTGAGE",105000,"Source Verified","No Default","debt_consolidation",28.4,2
"98",392756,20000," 36 months",7.89,625.72,"A5","9 years","RENT",117000,"Verified","No Default","debt_consolidation",25.49,0
"99",425460,20000," 60 months",13.99,465.27,"C4","3 years","RENT",60000,"Not Verified","No Default","debt_consolidation",31.3,0
"100",536135,12000," 36 months",10.99,392.81,"B4","2 years","RENT",35000,"Not Verified","No Default","credit_card",28.09,0
"101",375100,10000," 36 months",11.53,329.91,"B5","2 years","MORTGAGE",60000,"Not Verified","No Default","debt_consolidation",38.28,4
"102",15690,14825," 60 months",16.2,362.1,"C4","3 years","RENT",43000,"Source Verified","No Default","debt_consolidation",21.8,0
"103",28274,7500," 36 months",23.4,291.89,"E5","< 1 year","RENT",60000,"Not Verified","No Default","moving",14.58,2
"104",503649,24000," 60 months",7.89,485.38,"A5","10+ years","MORTGAGE",110000,"Source Verified","No Default","credit_card",19.51,2
"105",173609,16000," 60 months",18.92,414.35,"D4","10+ years","RENT",97500,"Verified","No Default","other",22.75,0
"106",376978,7675," 36 months",13.98,262.24,"C3","10+ years","RENT",55000,"Source Verified","No Default","credit_card",14.55,0
"107",508918,7000," 36 months",12.12,232.91,"B3","7 years","MORTGAGE",275000,"Not Verified","No Default","home_improvement",14.84,0
"108",437634,12000," 60 months",12.29,268.7,"C1","4 years","OWN",90000,"Verified","No Default","home_improvement",23.95,0
"109",260911,2500," 36 months",16.49,88.5,"D3","5 years","RENT",40000,"Not Verified","No Default","moving",24.45,0
"110",493917,14000," 36 months",7.9,438.07,"A4","10+ years","OWN",55000,"Source Verified","No Default","debt_consolidation",9.25,0
"111",581549,4150," 36 months",13.33,140.5,"C3","5 years","RENT",28000,"Verified","No Default","major_purchase",29.83,0
"112",287275,35000," 60 months",16.99,869.66,"D3","9 years","MORTGAGE",85000,"Verified","No Default","home_improvement",1.02,0
"113",543718,19750," 36 months",17.77,711.74,"D1","7 years","OWN",62347.9,"Verified","No Default","debt_consolidation",20.55,1
"114",415238,8000," 36 months",12.29,266.83,"C1","10+ years","MORTGAGE",105000,"Verified","No Default","debt_consolidation",26.64,0
"115",449976,1875," 36 months",14.65,64.68,"C5","10+ years","OWN",26000,"Source Verified","No Default","debt_consolidation",10.85,0
"116",120509,6000," 36 months",15.31,208.91,"C2","6 years","MORTGAGE",52000,"Source Verified","No Default","debt_consolidation",15.28,0
"117",352957,12000," 36 months",11.67,396.69,"B4","5 years","RENT",81793,"Source Verified","No Default","debt_consolidation",14.08,0
"118",260728,7000," 36 months",19.05,256.77,"D4","8 years","RENT",47500,"Not Verified","No Default","credit_card",13.19,0
"119",414441,15600," 60 months",14.33,365.66,"C5","3 years","RENT",40019.2,"Source Verified","No Default","debt_consolidation",4.53,0
"120",400491,28000," 60 months",16.24,684.49,"C5","8 years","MORTGAGE",125000,"Source Verified","No Default","credit_card",27.47,0
"121",602471,25975," 36 months",15.61,908.22,"C4","2 years","MORTGAGE",79000,"Verified","Default","debt_consolidation",25.22,0
"122",402706,10200," 36 months",13.35,345.41,"C2","< 1 year","RENT",30000,"Not Verified","No Default","debt_consolidation",16.52,0
"123",318281,7000," 36 months",16.78,248.81,"C5","4 years","MORTGAGE",105000,"Not Verified","Default","home_improvement",15.12,0
"124",88417,20000," 60 months",13.66,461.85,"C3","10+ years","MORTGAGE",80000,"Verified","No Default","debt_consolidation",6.95,2
"125",30686,10000," 60 months",12.59,225.44,"C2","10+ years","MORTGAGE",80000,"Source Verified","No Default","debt_consolidation",37.31,0
"126",540763,5000," 36 months",13.33,169.27,"C3","10+ years","RENT",80318,"Verified","No Default","other",30.33,0
"127",555807,15000," 36 months",7.89,469.29,"A5","1 year","RENT",45000,"Verified","No Default","credit_card",22.43,0
"128",141405,14250," 36 months",16.55,504.87,"D2","8 years","MORTGAGE",75000,"Source Verified","No Default","debt_consolidation",6.77,1
"129",249203,25000," 36 months",16.29,882.51,"D2","< 1 year","MORTGAGE",65000,"Verified","No Default","debt_consolidation",17.23,0
"130",181850,19225," 60 months",16.55,473.16,"D2","1 year","RENT",38500,"Source Verified","No Default","debt_consolidation",18.67,0
"131",456121,3000," 36 months",12.29,100.06,"C1","3 years","RENT",65000,"Not Verified","No Default","car",4.06,0
"132",440095,5000," 36 months",7.26,154.99,"A4","10+ years","MORTGAGE",36500,"Not Verified","No Default","debt_consolidation",11.02,0
"133",441884,20125," 60 months",25.57,597.44,"F5","10+ years","RENT",48000,"Verified","No Default","debt_consolidation",19.42,0
"134",352651,30000," 36 months",10.99,982.02,"B4","10+ years","MORTGAGE",160000,"Source Verified","No Default","debt_consolidation",14.66,0
"135",331159,5125," 36 months",14.31,175.94,"C4","7 years","RENT",31720,"Source Verified","No Default","debt_consolidation",20.7,0
"136",234547,13050," 36 months",12.99,439.65,"C1","4 years","MORTGAGE",89500,"Not Verified","No Default","debt_consolidation",14.95,3
"137",602362,10000," 36 months",10.99,327.34,"B3","1 year","MORTGAGE",26700,"Verified","No Default","credit_card",15.51,0
"138",223092,20050," 36 months",17.27,717.54,"C5","5 years","MORTGAGE",55000,"Verified","Default","other",31.07,0
"139",510591,10000," 36 months",12.29,333.53,"C1","5 years","MORTGAGE",51000,"Not Verified","No Default","home_improvement",17.18,0
"140",541655,10000," 60 months",12.05,222.7,"C1","10+ years","MORTGAGE",92000,"Source Verified","No Default","debt_consolidation",16.51,0
"141",154748,35000," 60 months",27.88,1087.23,"G3","3 years","MORTGAGE",1e+05,"Source Verified","No Default","other",14,1
"142",361525,28100," 60 months",21,760.2,"E1","10+ years","MORTGAGE",63000,"Verified","No Default","debt_consolidation",14.5,0
"143",411708,14000," 36 months",8.38,441.17,"B1","3 years","MORTGAGE",70000,"Source Verified","No Default","credit_card",8.25,1
"144",205587,15000," 60 months",13.99,348.95,"C4","10+ years","MORTGAGE",78000,"Not Verified","No Default","debt_consolidation",21.43,0
"145",171800,12300," 36 months",9.17,392.12,"B2","10+ years","MORTGAGE",62000,"Verified","No Default","debt_consolidation",24.34,0
"146",40778,4000," 36 months",15.61,139.86,"C3","8 years","MORTGAGE",47000,"Not Verified","No Default","debt_consolidation",12.23,1
"147",546768,5200," 36 months",11.99,172.69,"B3","5 years","OWN",61000,"Not Verified","No Default","debt_consolidation",6.98,0
"148",50694,8000," 36 months",21,301.41,"E2","10+ years","RENT",56000,"Not Verified","No Default","debt_consolidation",27.36,0
"149",567611,2500," 36 months",10.64,50.49,"B4","6 years","RENT",30000,"Not Verified","No Default","other",15.6,1
"150",237929,15000," 36 months",8.18,471.3,"B1","1 year","RENT",50000,"Source Verified","No Default","credit_card",16.23,0
"151",181645,10000," 36 months",8.18,314.2,"B1","3 years","RENT",101000,"Source Verified","No Default","credit_card",5.18,0
"152",278805,2400," 36 months",9.17,76.51,"B2","3 years","RENT",56000,"Source Verified","No Default","debt_consolidation",9.86,1
"153",419943,35000," 60 months",17.14,872.48,"D4","10+ years","MORTGAGE",150000,"Verified","No Default","debt_consolidation",35.98,0
"154",474012,12000," 36 months",8.18,377.04,"B1","8 years","RENT",114000,"Source Verified","No Default","credit_card",15.87,1
"155",358049,4000," 36 months",13.18,135.13,"C3","10+ years","MORTGAGE",75000,"Source Verified","No Default","debt_consolidation",12.72,0
"156",310576,15000," 36 months",7.49,466.53,"A4","2 years","RENT",130000,"Source Verified","No Default","debt_consolidation",15.01,0
"157",32659,7000," 36 months",5.32,210.81,"A1","6 years","MORTGAGE",48000,"Not Verified","No Default","major_purchase",17.8,0
"158",463513,21600," 60 months",12.99,491.36,"C2","5 years","MORTGAGE",77000,"Source Verified","No Default","debt_consolidation",20.2,0
"159",416623,13300," 60 months",11.99,295.79,"B5","10+ years","RENT",35000,"Not Verified","No Default","debt_consolidation",15.94,0
"160",565505,4800," 60 months",19.91,126.94,"E4","2 years","OWN",41000,"Verified","No Default","debt_consolidation",24.61,0
"161",610634,16000," 36 months",5.32,481.84,"A1","4 years","MORTGAGE",75000,"Not Verified","No Default","credit_card",19.73,0
"162",110658,10000," 36 months",6.68,307.31,"A3","10+ years","RENT",80000,"Not Verified","No Default","car",5.16,0
"163",486630,16000," 36 months",5.32,481.84,"A1","10+ years","RENT",47000,"Source Verified","No Default","credit_card",16.8,0
"164",220538,23000," 36 months",6.89,709.02,"A3","< 1 year","MORTGAGE",110000,"Source Verified","No Default","credit_card",15.21,0
"165",434787,8000," 36 months",15.61,279.72,"D1","10+ years","RENT",34000,"Source Verified","No Default","debt_consolidation",39.15,0
"166",147308,10000," 36 months",12.29,333.53,"C1","5 years","RENT",80000,"Source Verified","No Default","credit_card",12.66,0
"167",127865,12450," 36 months",18.54,453.48,"E1","6 years","OWN",46000,"Not Verified","No Default","debt_consolidation",37.73,1
"168",515288,5375," 36 months",21,202.51,"E2","n/a","RENT",18000,"Not Verified","No Default","debt_consolidation",22.53,0
"169",57816,10000," 36 months",6.89,308.27,"A3","3 years","RENT",62171,"Source Verified","No Default","credit_card",23.47,1
"170",57936,15000," 36 months",9.99,483.94,"B3","2 years","RENT",1e+05,"Not Verified","No Default","credit_card",14.63,0
"171",363433,8000," 36 months",16.99,285.19,"D3","3 years","OWN",23260,"Verified","No Default","credit_card",9.34,0
"172",524068,15000," 60 months",17.86,379.76,"D5","10+ years","MORTGAGE",70000,"Not Verified","No Default","debt_consolidation",34.39,3
"173",163486,11200," 36 months",13.35,379.27,"C2","3 years","RENT",40000,"Not Verified","No Default","credit_card",17.1,0
"174",36132,9925," 36 months",17.57,356.68,"D4","n/a","OWN",24883.2,"Verified","No Default","debt_consolidation",39.27,0
"175",269414,16000," 36 months",14.33,549.42,"C1","9 years","MORTGAGE",65000,"Not Verified","No Default","credit_card",3.58,1
"176",305346,8000," 36 months",12.29,266.83,"C1","1 year","RENT",42000,"Source Verified","No Default","debt_consolidation",13.06,0
"177",453193,8000," 36 months",12.49,267.6,"B5","8 years","RENT",42000,"Source Verified","No Default","debt_consolidation",6.6,0
"178",288905,2000," 36 months",6.89,61.66,"A3","10+ years","MORTGAGE",32000,"Source Verified","No Default","debt_consolidation",6.11,0
"179",303340,16000," 60 months",9.49,335.96,"B2","3 years","MORTGAGE",52000,"Not Verified","No Default","debt_consolidation",18,0
"180",550171,10000," 36 months",6.92,308.41,"A4","10+ years","RENT",45000,"Source Verified","No Default","debt_consolidation",25.62,0
"181",349414,35000," 60 months",14.65,826.24,"C5","3 years","MORTGAGE",125000,"Not Verified","No Default","credit_card",16.68,0
"182",443580,15000," 36 months",16.29,529.51,"C4","10+ years","MORTGAGE",60000,"Source Verified","Default","debt_consolidation",20.6,0
"183",24358,15000," 60 months",12.69,338.93,"C2","10+ years","MORTGAGE",45000,"Source Verified","No Default","credit_card",8.21,1
"184",65333,32000," 60 months",10.99,695.6,"B4","10+ years","MORTGAGE",130000,"Verified","No Default","debt_consolidation",10.5,0
"185",526304,11000," 36 months",12.12,365.99,"B3","10+ years","RENT",62000,"Not Verified","No Default","credit_card",18.95,0
"186",86825,22300," 60 months",18.99,578.36,"E3","10+ years","MORTGAGE",72000,"Verified","No Default","debt_consolidation",25.53,0
"187",154807,11200," 60 months",11.99,249.09,"B3","9 years","OWN",33900,"Verified","No Default","major_purchase",15.47,0
"188",509680,20000," 60 months",13.44,459.58,"C3","n/a","MORTGAGE",58000,"Not Verified","No Default","debt_consolidation",22.55,0
"189",75242,28000," 36 months",7.91,876.26,"A5","1 year","MORTGAGE",105000,"Source Verified","No Default","credit_card",17.43,0
"190",267410,12000," 36 months",6.24,366.37,"A2","9 years","MORTGAGE",72000,"Not Verified","No Default","debt_consolidation",25,0
"191",362687,15000," 36 months",6.89,462.41,"A3","5 years","RENT",45000,"Not Verified","No Default","debt_consolidation",21.07,0
"192",218835,7800," 36 months",7.12,241.27,"A3","5 years","RENT",75000,"Not Verified","No Default","credit_card",12.06,0
"193",409703,15000," 60 months",12.05,334.05,"C1","10+ years","MORTGAGE",72810,"Not Verified","No Default","debt_consolidation",12.79,0
"194",595363,8000," 36 months",13.98,273.35,"C3","7 years","MORTGAGE",35172,"Source Verified","Default","debt_consolidation",14.36,0
"195",436071,9475," 36 months",9.17,302.06,"B2","10+ years","RENT",38000,"Not Verified","No Default","debt_consolidation",24.35,0
"196",365759,7600," 36 months",7.62,236.83,"A3","n/a","RENT",70000,"Source Verified","No Default","credit_card",11.59,0
"197",483201,3000," 36 months",16.29,105.91,"D2","< 1 year","RENT",11000,"Not Verified","No Default","other",10.15,0
"198",465456,18900," 36 months",17.57,679.22,"D4","10+ years","RENT",43000,"Not Verified","No Default","debt_consolidation",13.28,0
"199",112685,24000," 60 months",15.41,576.14,"D1","10+ years","MORTGAGE",90000,"Source Verified","No Default","credit_card",19.44,0
"200",176100,8000," 36 months",13.44,271.26,"C3","10+ years","MORTGAGE",78200,"Not Verified","No Default","credit_card",21.44,0
"201",18045,21000," 36 months",11.99,697.41,"B3","7 years","MORTGAGE",70000,"Verified","No Default","credit_card",18.7,0
"202",515722,16900," 36 months",10.99,553.21,"B4","2 years","RENT",1e+05,"Not Verified","No Default","debt_consolidation",4.81,0
"203",445310,19000," 36 months",6.39,581.39,"A2","10+ years","OWN",80000,"Source Verified","No Default","debt_consolidation",16.91,0
"204",110080,8000," 36 months",13.99,273.39,"C4","3 years","RENT",80000,"Source Verified","No Default","other",3.95,1
"205",231647,6000," 36 months",12.29,200.12,"C1","2 years","MORTGAGE",40800,"Not Verified","No Default","home_improvement",21.41,0
"206",177482,28000," 60 months",16.99,695.73,"D3","10+ years","RENT",135000,"Source Verified","No Default","debt_consolidation",19.88,1
"207",470612,8000," 36 months",12.29,266.83,"C1","9 years","RENT",27000,"Source Verified","No Default","debt_consolidation",21.6,0
"208",583187,15525," 60 months",13.67,358.59,"C4","10+ years","RENT",75000,"Not Verified","No Default","debt_consolidation",38.84,0
"209",340402,5000," 36 months",10.99,163.67,"B2","2 years","MORTGAGE",45000,"Source Verified","No Default","credit_card",21.45,0
"210",433182,17000," 60 months",11.99,378.07,"B5","5 years","MORTGAGE",45000,"Source Verified","No Default","credit_card",21.89,0
"211",260302,30000," 36 months",8.9,952.6,"A5","10+ years","MORTGAGE",90000,"Verified","No Default","debt_consolidation",28,0
"212",534386,16000," 36 months",9.17,510.07,"B2","5 years","MORTGAGE",137000,"Source Verified","No Default","debt_consolidation",22.66,3
"213",509449,27800," 60 months",15.8,673.1,"C3","8 years","MORTGAGE",81000,"Verified","No Default","debt_consolidation",14.43,0
"214",158921,30000," 60 months",19.99,794.65,"E4","10+ years","RENT",80000,"Verified","No Default","debt_consolidation",29.39,0
"215",277538,6500," 36 months",9.17,207.22,"B2","3 years","RENT",40000,"Verified","No Default","credit_card",30.57,0
"216",103208,7500," 36 months",12.39,250.51,"C1","4 years","RENT",42640,"Source Verified","No Default","debt_consolidation",33.18,0
"217",392216,20000," 60 months",9.99,424.85,"B3","10+ years","MORTGAGE",59000,"Not Verified","No Default","credit_card",19.63,0
"218",550394,6000," 36 months",7.26,185.98,"A4","5 years","MORTGAGE",55060.8,"Not Verified","No Default","credit_card",24.98,0
"219",54072,8000," 36 months",9.91,257.8,"B1","3 years","MORTGAGE",39000,"Not Verified","Default","debt_consolidation",21.95,0
"220",204911,5000," 36 months",11.49,164.86,"B5","2 years","MORTGAGE",80000,"Verified","No Default","debt_consolidation",14.94,2
"221",225320,15100," 60 months",18.25,385.5,"E1","10+ years","RENT",40000,"Not Verified","No Default","debt_consolidation",20.01,0
