"","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","sub_grade","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","purpose","zip_code","addr_state","dti","inq_last_6mths","open_acc","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","collections_12_mths_ex_med","application_type","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal"
"13",14000,14000,14000," 36 months",12.12,"B3","4 years","RENT",52100,"Not Verified","Jan-2013","Current","credit_card","852xx","AZ",23.23,0,9,8893,60.5,16,"f",464.81,464.81,16298.02,16298.02,13535.19,2762.83,0,0,0,0,"INDIVIDUAL","",0,0,28077
"14",4500,4500,4500," 36 months",23.1,"E4","7 years","MORTGAGE",80000,"Not Verified","Oct-2013","Fully Paid","other","917xx","CA",7.96,3,12,4341,46.2,16,"w",0,0,5618.3,5618.3,4500,1118.3,0,0,0,0,"INDIVIDUAL","",0,0,446761
"15",30000,30000,29750," 60 months",19.42,"E3","10+ years","MORTGAGE",1e+05,"Verified","Nov-2011","Fully Paid","debt_consolidation","956xx","CA",6.58,0,6,13363,89.1,11,"f",0,0,41119.5,40776.61,30000,11119.5,0,0,0,0,"INDIVIDUAL","",0,NA,NA
"16",19200,19200,19200," 60 months",12.29,"C1","< 1 year","MORTGAGE",45000,"Not Verified","Aug-2015","Late (31-120 days)","debt_consolidation","725xx","AR",16.88,1,8,13074,47.5,32,"f",18492.97,18492.97,1276.65,1276.65,707.03,569.62,0,0,0,0,"INDIVIDUAL","",0,0,115206
"17",4000,4000,4000," 36 months",9.99,"B3","4 years","RENT",35000,"Not Verified","Feb-2015","Current","debt_consolidation","447xx","OH",20.2,0,12,3902,76.5,14,"f",2901.8,2901.8,1417.33,1417.33,1098.2,319.13,0,0,0,0,"INDIVIDUAL","",0,0,44301
"18",15000,15000,15000," 60 months",14.33,"C5","10+ years","MORTGAGE",80000,"Verified","Nov-2015","Current","debt_consolidation","950xx","CA",6.38,0,12,8578,53.3,21,"w",14652.99,14652.99,679.32,679.32,347.01,332.31,0,0,0,0,"INDIVIDUAL","",0,0,327582
"19",4000,4000,4000," 36 months",11.53,"B5","< 1 year","MORTGAGE",76500,"Source Verified","Jul-2015","Current","credit_card","346xx","FL",21.06,1,14,9098,83.5,36,"w",3425.13,3425.13,789.26,789.26,574.87,214.39,0,0,0,0,"INDIVIDUAL","",0,0,379410
"20",5200,5200,5200," 36 months",8.18,"B1","n/a","OWN",32500,"Verified","Feb-2015","Current","debt_consolidation","785xx","TX",29.95,1,13,4663,23.8,28,"w",3880.6,3880.6,1629.17,1629.17,1319.4,309.77,0,0,0,0,"INDIVIDUAL","",0,0,31348
"21",7800,7800,7800," 36 months",11.99,"C1","10+ years","RENT",31722,"Source Verified","Dec-2015","Issued","moving","065xx","CT",34.01,0,11,8604,78.9,22,"w",7800,7800,0,0,0,0,0,0,0,0,"INDIVIDUAL","",0,0,85287
"22",20000,20000,20000," 36 months",8.39,"A5","10+ years","MORTGAGE",84600,"Source Verified","Oct-2014","Current","debt_consolidation","890xx","NV",13.06,0,10,21001,56.9,16,"f",12811.93,12811.93,8806.12,8806.12,7188.07,1618.05,0,0,0,0,"INDIVIDUAL","",0,0,320991
"23",16150,16150,16150," 60 months",25.83,"G2","8 years","MORTGAGE",85000,"Source Verified","Feb-2014","Fully Paid","home_improvement","973xx","OR",25.09,5,17,5980,58.6,34,"f",0,0,22530.73,22530.73,16150,6380.73,0,0,0,0,"INDIVIDUAL","",0,410,158213
"24",8000,8000,7750," 36 months",10.99,"B3","10+ years","MORTGAGE",42000,"Not Verified","Aug-2011","Fully Paid","credit_card","134xx","NY",17.37,0,15,8694,59.2,40,"f",0,0,8474.67,8209.8,8000,474.67,0,0,0,0,"INDIVIDUAL","",0,NA,NA
"25",22400,22400,22400," 36 months",8.9,"A5","n/a","MORTGAGE",143000,"Source Verified","Apr-2013","Charged Off","debt_consolidation","782xx","TX",16.44,3,12,42891,72.4,39,"f",0,0,17316.98,17316.98,12969.03,2671.53,0,1676.42,301.755600004,0,"INDIVIDUAL","",0,0,268403
"26",17000,17000,17000," 36 months",11.67,"B4","2 years","RENT",95000,"Source Verified","Jul-2014","Current","debt_consolidation","776xx","TX",13.59,0,13,9368,48.5,20,"f",9238.45,9238.45,10115.46,10115.46,7761.55,2353.91,0,0,0,4,"INDIVIDUAL","",0,2188,10094
"27",22500,22500,22500," 36 months",6.68,"A3","4 years","RENT",67000,"Source Verified","Feb-2015","Current","credit_card","245xx","VA",22.06,0,12,28540,63,17,"f",16095.52,16095.52,7585.07,7585.07,6404.48,1180.59,0,0,0,0,"INDIVIDUAL","",0,0,71178
"28",7000,7000,7000," 36 months",12.29,"C1","10+ years","MORTGAGE",72000,"Source Verified","May-2015","Current","debt_consolidation","029xx","RI",20.8,0,13,16209,59.2,33,"w",5832.09,5832.09,1665.42,1665.42,1167.91,497.51,0,0,0,0,"INDIVIDUAL","",0,0,221633
"29",10000,10000,10000," 36 months",11.49,"B5","4 years","MORTGAGE",52000,"Source Verified","Nov-2015","Current","credit_card","871xx","NM",17.19,0,7,12813,70.8,8,"f",9529.83,9529.83,684.97,684.97,470.17,214.8,0,0,0,0,"INDIVIDUAL","",0,0,156262
"30",31500,31500,31500," 60 months",14.49,"C4","10+ years","MORTGAGE",2e+05,"Verified","Jun-2014","Current","credit_card","231xx","VA",12.62,2,11,24478,69.7,33,"f",24297.74,24297.74,13337.64,13337.64,7202.26,6135.38,0,0,0,0,"INDIVIDUAL","",0,0,600578
"31",20000,20000,19950," 60 months",19.52,"E2","10+ years","MORTGAGE",110906,"Source Verified","Jun-2014","Fully Paid","debt_consolidation","212xx","MD",10.65,1,9,6596,85.7,30,"f",0,0,24829.74,24767.67,20000,4829.74,0,0,0,0,"INDIVIDUAL","",0,3137,275283
"32",12000,12000,12000," 36 months",8.18,"B1","2 years","OWN",82000,"Source Verified","Jul-2015","Current","debt_consolidation","939xx","CA",15.67,0,12,15274,77.5,36,"f",10198.1,10198.1,2251.33,2251.33,1801.9,449.43,0,0,0,0,"INDIVIDUAL","",0,0,37830
"33",28000,28000,28000," 36 months",14.49,"C4","1 year","RENT",80000,"Source Verified","Aug-2014","Current","credit_card","951xx","CA",6.87,0,9,1887,10.3,26,"f",16273.46,16273.46,16382.22,16382.22,11726.54,4655.68,0,0,0,0,"INDIVIDUAL","",1,0,22073
"34",12000,12000,11950," 36 months",14.98,"C3","10+ years","RENT",80000,"Not Verified","Jan-2014","Current","debt_consolidation","073xx","NJ",28.24,0,18,34060,67.3,25,"f",4608.04,4588.84,9980.66,9939.08,7391.96,2588.7,0,0,0,0,"INDIVIDUAL","",0,0,82148
"35",6000,6000,6000," 36 months",8.9,"A5","< 1 year","OWN",1e+05,"Verified","Nov-2013","Fully Paid","major_purchase","704xx","LA",5.29,0,14,348,1.2,24,"w",0,0,6566.72,6566.72,6000,566.72,0,0,0,0,"INDIVIDUAL","",0,0,24663
"36",15000,15000,15000," 36 months",12.59,"C2","5 years","RENT",170000,"Not Verified","Nov-2015","Current","debt_consolidation","770xx","TX",12.84,3,8,10544,60.3,10,"w",14654.91,14654.91,491.97,491.97,345.09,146.88,0,0,0,0,"INDIVIDUAL","",0,0,74412
"37",8000,8000,8000," 36 months",10.99,"B4","10+ years","OWN",52000,"Source Verified","Nov-2015","Current","debt_consolidation","907xx","CA",21.07,1,15,1911,8.4,38,"w",7621.05,7621.05,516.43,516.43,378.95,137.48,0,0,0,0,"INDIVIDUAL","",0,0,18276
"38",14000,14000,14000," 36 months",12.49,"B4","10+ years","RENT",87500,"Verified","Apr-2014","Fully Paid","debt_consolidation","531xx","WI",12.67,0,11,7737,27.5,38,"f",0,0,15364.45,15364.45,14000,1364.45,0,0,0,0,"INDIVIDUAL","",0,0,81163
"39",8500,8500,8500," 36 months",9.17,"B1","8 years","MORTGAGE",65000,"Not Verified","Aug-2014","Current","debt_consolidation","775xx","TX",11.48,1,12,33695,65.4,24,"w",4775.04,4775.04,4606.66,4606.66,3724.96,881.7,0,0,0,0,"INDIVIDUAL","",0,0,155465
"40",1625,1625,1625," 36 months",17.86,"D5","2 years","RENT",30000,"Source Verified","Nov-2014","Current","debt_consolidation","328xx","FL",34.28,0,4,289,48.2,16,"w",817.92,817.92,1084.79,1084.79,807.08,277.71,0,0,0,0,"INDIVIDUAL","",0,2717,37682
"41",10000,10000,10000," 60 months",8.67,"B1","10+ years","MORTGAGE",87000,"Source Verified","Nov-2014","Current","credit_card","970xx","OR",12.98,1,19,16441,36.7,46,"w",8037.55,8037.55,2871.82,2871.82,1962.45,909.37,0,0,0,0,"INDIVIDUAL","",0,210,260363
"42",25000,25000,25000," 60 months",13.18,"C3","n/a","RENT",51000,"Not Verified","Nov-2015","Current","debt_consolidation","781xx","TX",23.4,1,15,14851,63.2,42,"w",24403.63,24403.63,1105.67,1105.67,596.37,509.3,0,0,0,0,"INDIVIDUAL","",0,0,51309
"43",19500,19500,19500," 36 months",7.26,"A4","10+ years","RENT",48000,"Not Verified","Nov-2015","Current","credit_card","104xx","NY",30.45,0,6,4364,20.2,20,"f",18524.15,18524.15,1224,1224,975.85,248.15,0,0,0,0,"INDIVIDUAL","",0,0,26786
"44",2000,2000,2000," 36 months",9.17,"B2","1 year","MORTGAGE",87000,"Verified","Jun-2015","Current","credit_card","330xx","FL",18.13,0,14,11194,49.5,53,"f",1452.02,1452.02,645.3,645.3,547.98,97.32,0,0,0,0,"INDIVIDUAL","",0,0,198834
"45",21850,21850,21850," 60 months",15.88,"C4","10+ years","OWN",50000,"Verified","Jul-2013","Fully Paid","debt_consolidation","665xx","KS",21.86,0,8,20376,67.2,16,"f",0,0,28856.0000638,28856,21850,7006,0,0,0,0,"INDIVIDUAL","",0,0,29967
"46",12000,12000,12000," 60 months",9.49,"B2","1 year","RENT",40000,"Source Verified","Jan-2015","Current","debt_consolidation","328xx","FL",14.58,1,16,9655,19.4,27,"w",10030.98,10030.98,3007.82,3007.82,1969.02,1038.8,0,0,0,0,"INDIVIDUAL","",0,0,11550
"47",10000,10000,10000," 36 months",13.18,"C3","3 years","MORTGAGE",82000,"Source Verified","Nov-2015","Current","debt_consolidation","784xx","TX",13.93,2,5,903,43,10,"w",9772.02,9772.02,330.49,330.49,227.98,102.51,0,0,0,0,"INDIVIDUAL","",0,0,36250
"48",21000,21000,21000," 36 months",11.14,"B2","< 1 year","MORTGAGE",2e+05,"Source Verified","Apr-2013","Fully Paid","debt_consolidation","761xx","TX",29.76,3,17,25944,60.3,47,"f",0,0,23256.2638274,23256.26,21000,2256.26,0,0,0,0,"INDIVIDUAL","",0,0,601323
"49",7000,7000,7000," 36 months",12.12,"B3","10+ years","OWN",40000,"Verified","Nov-2012","Fully Paid","debt_consolidation","946xx","CA",34.02,2,10,14119,56,24,"f",0,0,8330.59746021,8330.6,7000,1330.6,0,0,0,0,"INDIVIDUAL","",0,0,56253
"50",12000,12000,12000," 60 months",12.59,"C2","1 year","MORTGAGE",55000,"Source Verified","Nov-2015","Current","credit_card","958xx","CA",19.66,1,6,5352,81.1,21,"w",11855.37,11855.37,249.55,249.55,144.63,104.92,0,0,0,0,"INDIVIDUAL","",0,0,173413
"51",17000,17000,17000," 36 months",6.03,"A1","10+ years","MORTGAGE",80000,"Not Verified","Apr-2013","Fully Paid","debt_consolidation","327xx","FL",18.65,0,17,18362,30,42,"f",0,0,17690.31,17690.31,17000,690.31,0,0,0,0,"INDIVIDUAL","",0,0,191889
"52",24000,24000,23950," 60 months",19.29,"E4","< 1 year","RENT",40000,"Verified","May-2011","Fully Paid","debt_consolidation","919xx","CA",16.11,0,6,23300,87.7,15,"f",0,0,30896.72,30832.38,24000,6896.72,0,0,0,0,"INDIVIDUAL","",0,NA,NA
"53",4825,4825,4825," 36 months",20.2,"E3","10+ years","RENT",57500,"Not Verified","Jul-2014","Fully Paid","debt_consolidation","491xx","MI",10.23,1,4,1796,40.8,7,"f",0,0,5741.11,5741.11,4825,916.11,0,0,0,0,"INDIVIDUAL","",0,683,21213
"54",16475,16475,16475," 60 months",14.33,"C1","8 years","MORTGAGE",40000,"Verified","Dec-2012","Charged Off","debt_consolidation","313xx","GA",15.96,1,7,5568,61.9,17,"f",0,0,5792.55,5792.55,3080.67,2691.02,0,20.86,0,0,"INDIVIDUAL","",0,0,87423
"55",6325,6325,6325," 36 months",11.44,"B4","7 years","MORTGAGE",45000,"Not Verified","Jan-2015","Fully Paid","debt_consolidation","928xx","CA",10.77,1,9,7058,72.8,24,"f",0,0,6726.32,6726.32,6325,401.32,0,0,0,0,"INDIVIDUAL","",0,0,292985
"56",27300,27300,27300," 60 months",23.28,"F2","6 years","RENT",61000,"Verified","Mar-2013","Charged Off","major_purchase","902xx","CA",15.27,1,17,21554,73.6,48,"f",0,0,9091.29,9091.29,1810.78,3599.1,0,3681.41,36.8141000024,0,"INDIVIDUAL","",0,0,108001
"57",35000,35000,35000," 60 months",17.86,"D5","10+ years","MORTGAGE",175000,"Source Verified","Aug-2015","Late (31-120 days)","home_improvement","912xx","CA",15.29,0,20,269885,11,32,"f",35000,35000,25,25,0,0,25,0,0,0,"INDIVIDUAL","",0,0,484557
"58",35000,35000,35000," 36 months",9.99,"B3","10+ years","MORTGAGE",75000,"Source Verified","Aug-2015","Current","credit_card","483xx","MI",16.69,0,11,42807,73.9,22,"w",30740.6,30740.6,5598.79,5598.79,4259.4,1339.39,0,0,0,0,"INDIVIDUAL","",0,0,221674
"59",15750,15750,15700," 36 months",16.35,"E1","< 1 year","OWN",48000,"Not Verified","Nov-2009","Fully Paid","debt_consolidation","850xx","AZ",18.13,0,4,5481,99.7,7,"f",0,0,15964.59,15913.91,15750,214.59,0,0,0,0,"INDIVIDUAL","",0,NA,NA
"60",10000,10000,10000," 36 months",11.67,"B4","2 years","MORTGAGE",77500,"Not Verified","Sep-2014","Current","debt_consolidation","452xx","OH",20.01,0,13,14521,83.9,35,"f",6251.62,6251.62,4963.61,4963.61,3748.38,1215.23,0,0,0,0,"INDIVIDUAL","",0,187,246235
"61",9500,9500,9500," 36 months",10.99,"B2","7 years","MORTGAGE",70000,"Not Verified","Oct-2013","Current","home_improvement","481xx","MI",0.8,2,3,2020,53.2,14,"f",2677.34,2677.34,8392.66,8392.66,6822.66,1570,0,0,0,0,"INDIVIDUAL","",0,0,131353
"62",15000,15000,15000," 60 months",16.55,"D2","10+ years","MORTGAGE",50000,"Verified","Nov-2015","Current","home_improvement","599xx","MT",19.25,0,9,6331,47.2,16,"w",14673.17,14673.17,710.76,710.76,326.83,383.93,0,0,0,0,"INDIVIDUAL","",0,701,150901
"63",14000,14000,14000," 36 months",9.49,"B2","4 years","OWN",85000,"Source Verified","Jan-2015","Current","credit_card","383xx","TN",19.06,1,13,7971,25.1,19,"w",9766.82,9766.82,5362.35,5362.35,4233.18,1129.17,0,0,0,0,"INDIVIDUAL","",0,0,35652
"64",24000,24000,24000," 60 months",13.67,"C4","6 years","MORTGAGE",225000,"Source Verified","Dec-2015","Current","debt_consolidation","851xx","AZ",3.94,2,9,0,0,14,"w",23719.05,23719.05,636.37,636.37,280.95,355.42,0,0,0,0,"INDIVIDUAL","",0,0,369877
"65",14400,14400,14400," 60 months",12.99,"C1","10+ years","MORTGAGE",48000,"Verified","Sep-2011","Fully Paid","house","483xx","MI",3.55,4,8,2415,7.2,14,"f",0,0,18055.4298636,18055.43,14400,3655.43,0,0,0,0,"INDIVIDUAL","",0,NA,NA
"66",4800,4800,4800," 36 months",13.99,"C4","10+ years","OWN",40000,"Not Verified","May-2015","Current","debt_consolidation","707xx","LA",14.82,1,9,13542,89.1,16,"f",4016.53,4016.53,1144.48,1144.48,783.47,361.01,0,0,0,1,"INDIVIDUAL","",0,1583,14571
"67",2000,2000,2000," 36 months",11.99,"C1","3 years","RENT",38900,"Not Verified","Dec-2015","Current","credit_card","325xx","FL",13.61,2,6,18366,82,12,"w",1953.56,1953.56,63.76,63.76,46.44,17.32,0,0,0,0,"INDIVIDUAL","",0,0,18366
"68",6000,6000,5950," 36 months",10.16,"B1","10+ years","MORTGAGE",50000,"Not Verified","Apr-2013","Current","debt_consolidation","333xx","FL",18.58,0,11,34099,54.6,20,"f",579.28,574.45,6394.78,6341.49,5420.72,974.06,0,0,0,0,"INDIVIDUAL","",0,0,118982
"69",6600,6600,6600," 36 months",8.18,"B1","8 years","RENT",24900,"Not Verified","Aug-2015","Current","debt_consolidation","327xx","FL",8.19,0,4,6597,55.9,11,"f",5776.96,5776.96,1033.85,1033.85,823.04,210.81,0,0,0,0,"INDIVIDUAL","",0,0,6597
"70",20000,20000,20000," 36 months",9.17,"B2","5 years","MORTGAGE",71500,"Source Verified","Dec-2015","Issued","debt_consolidation","761xx","TX",17.49,0,16,25497,48.4,30,"w",20000,20000,0,0,0,0,0,0,0,1,"INDIVIDUAL","",0,378,176474
"71",12000,12000,12000," 36 months",6.39,"A2","< 1 year","MORTGAGE",30000,"Source Verified","May-2015","Current","debt_consolidation","645xx","MO",15.44,1,5,3254,9.7,8,"w",9527.97,9527.97,2933.26,2933.26,2472.03,461.23,0,0,0,0,"INDIVIDUAL","",0,0,3794
"72",20000,20000,19950," 60 months",19.52,"E2","4 years","RENT",120000,"Verified","May-2014","Fully Paid","debt_consolidation","913xx","CA",12.51,4,18,16183,43,37,"f",0,0,21281.6770881,21228.47,20000,1281.68,0,0,0,0,"INDIVIDUAL","",0,304,36064
"73",15000,15000,15000," 36 months",12.85,"B4","10+ years","RENT",81700,"Source Verified","Dec-2013","Fully Paid","credit_card","984xx","WA",12.63,0,11,14857,88.4,17,"f",0,0,17612.1281408,17612.13,15000,2612.13,0,0,0,0,"INDIVIDUAL","",0,0,27161
"74",7750,7750,7750," 36 months",16.78,"C5","7 years","RENT",45000,"Not Verified","Sep-2013","Fully Paid","debt_consolidation","180xx","PA",18.75,1,15,5530,50.7,18,"f",0,0,9765.76000141,9765.76,7750,2015.76,0,0,0,0,"INDIVIDUAL","",0,0,31243
"75",12000,12000,12000," 36 months",8.18,"B1","4 years","OWN",48000,"Source Verified","Jul-2015","Current","debt_consolidation","243xx","VA",5.75,0,3,6768,94,9,"w",10503.54,10503.54,1879.75,1879.75,1496.46,383.29,0,0,0,0,"INDIVIDUAL","",0,0,6768
"76",10000,10000,10000," 36 months",9.17,"B1","3 years","MORTGAGE",80000,"Not Verified","May-2014","Current","credit_card","125xx","NY",8.01,0,9,8141,63.6,25,"w",4783.96,4783.96,6375.8,6375.8,5216.04,1159.76,0,0,0,0,"INDIVIDUAL","",0,0,317168
"77",35000,35000,35000," 60 months",20.99,"E4","9 years","MORTGAGE",159507,"Verified","Feb-2015","Current","home_improvement","220xx","VA",19.13,0,21,52555,68.7,65,"f",30981.55,30981.55,10372.67,10372.67,4018.45,6354.22,0,0,0,0,"INDIVIDUAL","",0,0,821871
"78",18000,18000,18000," 36 months",12.99,"B5","10+ years","MORTGAGE",125000,"Not Verified","Feb-2014","Current","debt_consolidation","446xx","OH",15.01,2,12,24125,64.2,29,"w",7838.3,7838.3,13341.02,13341.02,10161.7,3179.32,0,0,0,0,"INDIVIDUAL","",0,0,185888
"79",31350,31350,31350," 36 months",13.98,"C3","1 year","RENT",95000,"Verified","Jul-2014","Current","debt_consolidation","495xx","MI",15.82,0,9,11490,32.3,19,"w",17303.02,17303.02,19281.06,19281.06,14046.98,5234.08,0,0,0,1,"INDIVIDUAL","",0,1298,162967
"80",12000,12000,11950," 60 months",14.65,"C5","1 year","MORTGAGE",60000,"Verified","Oct-2015","Current","home_improvement","378xx","TN",9.12,0,11,0,0,38,"f",11584.63,11536.36,840.07,836.57,415.37,424.7,0,0,0,0,"INDIVIDUAL","",1,0,28670
"81",13000,13000,13000," 36 months",13.35,"C2","n/a","MORTGAGE",33600,"Verified","Oct-2014","Current","home_improvement","191xx","PA",30.14,0,9,16078,69.6,20,"w",8203.57,8203.57,6593.66,6593.66,4796.43,1797.23,0,0,0,0,"INDIVIDUAL","",0,0,28004
"82",6000,6000,6000," 36 months",6.24,"A2","5 years","RENT",52000,"Not Verified","Jun-2015","Current","debt_consolidation","591xx","MT",8.33,0,6,9265,39.6,19,"f",3770.71,3770.71,2406.25,2406.25,2229.29,176.96,0,0,0,0,"INDIVIDUAL","",0,0,9265
"83",20000,20000,20000," 60 months",15.61,"D1","3 years","RENT",55000,"Source Verified","Jun-2014","Fully Paid","debt_consolidation","551xx","MN",17.15,0,20,9242,40.7,35,"w",0,0,24140.29,24140.29,20000,4140.29,0,0,0,0,"INDIVIDUAL","",0,0,50958
"84",9000,9000,9000," 36 months",9.17,"B2","9 years","RENT",80000,"Source Verified","Jun-2015","Current","debt_consolidation","971xx","OR",19.58,0,16,3664,16.1,41,"f",7437.53,7437.53,2003.86,2003.86,1562.47,441.39,0,0,0,0,"INDIVIDUAL","",0,944,27968
"85",35000,35000,34975," 60 months",12.29,"C1","10+ years","RENT",160000,"Verified","Jul-2015","Current","credit_card","606xx","IL",10,0,11,35940,78.1,14,"w",32382.32,32359.19,4678.3,4674.96,2617.68,2060.62,0,0,0,0,"INDIVIDUAL","",0,0,37876
"86",11625,11625,11625," 36 months",12.29,"C1","1 year","OWN",40000,"Not Verified","May-2015","Current","debt_consolidation","730xx","OK",28.14,0,13,16263,56.5,33,"f",9396.99,9396.99,3093.9,3093.9,2228.01,865.89,0,0,0,0,"INDIVIDUAL","",0,0,149128
"87",9600,9600,9600," 36 months",7.62,"A3","1 year","MORTGAGE",58000,"Source Verified","Feb-2014","Current","credit_card","894xx","NV",21.35,0,10,21820,51.8,35,"f",3721.4,3721.4,6880.45,6880.45,5878.6,1001.85,0,0,0,0,"INDIVIDUAL","",0,126,244500
"88",10000,10000,10000," 36 months",10.64,"B2","5 years","RENT",1e+05,"Not Verified","Jul-2013","Current","credit_card","081xx","NJ",23.47,0,19,41839,81.2,31,"f",1898.63,1898.63,9765.45,9765.45,8101.37,1664.08,0,0,0,0,"INDIVIDUAL","",0,0,73372
"89",18000,18000,18000," 60 months",15.61,"D1","2 years","OWN",75000,"Verified","Jun-2015","Current","major_purchase","983xx","WA",0.91,1,8,1978,9.7,29,"f",16545.18,16545.18,3006.85,3006.85,1454.82,1552.03,0,0,0,0,"INDIVIDUAL","",0,0,1978
"90",35000,35000,34850," 36 months",9.99,"B3","6 years","RENT",2e+05,"Source Verified","May-2015","Current","credit_card","201xx","VA",29.67,1,9,3656,63,14,"f",28098.9,27978.48,9014.1,8975.47,6901.1,2113,0,0,0,0,"INDIVIDUAL","",0,0,194369
"91",19000,19000,19000," 36 months",16.59,"D2","10+ years","RENT",38000,"Not Verified","Dec-2015","Issued","debt_consolidation","900xx","CA",20.13,0,5,34136,60.7,8,"w",19000,19000,0,0,0,0,0,0,0,0,"INDIVIDUAL","",0,0,34136
"92",17975,17975,17975," 60 months",20.99,"E4","10+ years","RENT",62000,"Verified","Aug-2014","In Grace Period","debt_consolidation","303xx","GA",23.36,2,7,3607,54,15,"f",15057.63,15057.63,7292.85,7292.85,2917.37,4375.48,0,0,0,0,"INDIVIDUAL","",0,0,32435
"93",6000,6000,6000," 36 months",12.39,"C1","10+ years","RENT",35000,"Source Verified","Dec-2014","Current","debt_consolidation","104xx","NY",11.66,0,11,7496,37.3,17,"f",4240.8,4240.8,2398.72,2398.72,1759.2,639.52,0,0,0,0,"INDIVIDUAL","",0,0,7496
"94",7000,7000,7000," 36 months",6.92,"A4","n/a","OWN",32000,"Verified","Apr-2015","Current","credit_card","254xx","WV",7.46,2,16,8205,11.3,22,"w",5383.36,5383.36,1937.63,1937.63,1616.64,320.99,0,0,0,0,"INDIVIDUAL","",0,0,8205
